LINEUPS,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,DEN,44,19.8,50.1,19.3,36.5,52.8,4.6,11.7,39.7,6.9,8.5,81.2,4.4,13.8,18.2,12.4,4.7,3.1,2.1,1.6,5.9,7.5,5.4
B. Adebayo - D. Robinson - H. Highsmith - N. Jovic - J. Jaquez Jr.,MIA,1,19.3,41,15,41,36.6,6,14,42.9,5,6,83.3,9,12,21,11,3,3,1,4,4,8,10
K. Dunn - J. Collins - O. Yurtseven - S. Fontecchio - K. George,UTA,1,19,39,16,35,45.7,5,16,31.3,2,3,66.7,5,17,22,6,10,3,2,1,6,5,2
K. Lowry - K. Love - J. Butler - B. Adebayo - T. Herro,MIA,2,18.9,49,18,40.5,44.4,6.5,12,54.2,6.5,9,72.2,9,13.5,22.5,11,3.5,4.5,2,6.5,6,7,8.5
J. Jackson Jr. - Z. Williams - S. Aldama - J. Goodwin - V. Williams Jr.,MEM,1,18.7,50,18,37,48.6,5,15,33.3,9,9,100,6,12,18,11,5,6,3,3,5,6,7
D. Ayton - D. Banton - S. Henderson - K. Murray - T. Camara,POR,1,18.5,31,11,29,37.9,4,12,33.3,5,6,83.3,1,15,16,7,7,5,2,1,8,7,-10
K. Hayes - I. Stewart - I. Livers - C. Cunningham - J. Duren,DET,1,18.5,34,15,31,48.4,2,11,18.2,2,7,28.6,3,11,14,8,8,1,1,2,8,6,-14
M. Turner - B. Brown - A. Nembhard - O. Toppin - A. Nesmith,IND,1,18.5,47,18,37,48.6,6,12,50,5,5,100,6,15,21,16,7,2,2,4,7,8,3
J. Randle - O. Anunoby - I. Hartenstein - J. Brunson - D. DiVincenzo,NYK,10,18,48.1,17.3,33.4,51.8,6.6,15.3,43.1,6.9,8.1,85.2,3.8,13.9,17.7,11.5,5.4,3.1,1.2,1.6,7.1,6.3,6.2
L. Kennard - J. Jackson Jr. - D. Bane - S. Aldama - G. Jackson,MEM,1,18,43,13,32,40.6,8,20,40,9,12,75,1,12,13,11,6,4,2,4,9,7,-1
J. Randle - O. Anunoby - I. Hartenstein - D. DiVincenzo - M. McBride,NYK,2,17.7,39,14,29.5,47.5,5,15.5,32.3,6,10.5,57.1,6,13.5,19.5,9.5,5.5,2,3,0.5,5.5,8.5,3
K. Dunn - W. Kessler - T. Hendricks - K. George - B. Sensabaugh,UTA,1,17.4,30,11,30,36.7,2,13,15.4,6,8,75,3,19,22,5,7,1,1,3,6,7,-8
M. Turner - P. Siakam - A. Nembhard - T. Haliburton - A. Nesmith,IND,15,17.4,39.7,15.5,31.3,49.6,4.1,12.1,33.7,4.6,6.3,73.4,1.8,12.2,14,11,4.3,2.1,2.6,1.4,5.9,5.6,-0.6
J. Randle - O. Anunoby - J. Brunson - D. DiVincenzo - J. Sims,NYK,2,17.2,42.5,16.5,27.5,60,4.5,9.5,47.4,5,5,100,2.5,9.5,12,8,5,3.5,1,0.5,4.5,5.5,9.5
D. Jordan - R. Jackson - J. Holiday - K. Caldwell-Pope - M. Porter Jr.,DEN,1,17.1,37,14,34,41.2,4,8,50,5,11,45.5,8,10,18,10,4,4,1,1,10,7,-1
R. Westbrook - P. George - K. Leonard - R. Covington - I. Zubac,LAC,3,17.1,47.3,18.3,31.7,57.9,5,11.3,44.1,5.7,8.7,65.4,3.3,12.7,16,12.3,5,5.3,3,1.3,6.3,7.7,14
F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,HOU,45,16.8,39.1,14.8,31.6,46.9,4.5,12.1,37.4,4.9,6.2,79.5,3.4,12.4,15.9,9.8,4.4,2,1.3,1.9,6.7,5.7,0
J. Holiday - K. Porzingis - J. Brown - J. Tatum - D. White,BOS,33,16.8,43.4,16.2,31,52.1,5.2,13,40.2,5.8,7,83.5,3,13,16,9.7,4.5,2.2,2.3,0.9,5.7,6.2,4.7
J. Poeltl - G. Trent Jr. - R. Barrett - I. Quickley - S. Barnes,TOR,10,16.4,42.4,16.3,33.5,48.7,4.6,10.7,43,5.2,6.7,77.6,4.6,11.8,16.4,10.9,3.8,2.8,2.4,2.9,4.6,5.9,4.3
M. Fultz - W. Carter Jr. - F. Wagner - J. Suggs - P. Banchero,ORL,16,16.4,38.3,14.9,30.8,48.3,3.9,10.3,38.4,4.6,6.7,69.2,3.5,11.4,14.9,9.2,4.6,3.3,0.6,1.8,5.1,6.4,3
