LINEUPS,TEAM,GP,MIN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PFD,OPP PTS,+/-
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,DEN,44,19.8,17.2,35.8,47.9,4.8,13.1,36.5,5.6,7.3,76.2,3.8,12,15.8,11.3,5,2.8,1.6,2.1,7.5,5.9,44.7,-5.4
B. Adebayo - D. Robinson - H. Highsmith - N. Jovic - J. Jaquez Jr.,MIA,1,19.3,13,30,43.3,5,18,27.8,0,2,0,4,15,19,9,7,1,4,1,8,4,31,-10
K. Dunn - J. Collins - O. Yurtseven - S. Fontecchio - K. George,UTA,1,19,15,42,35.7,2,13,15.4,5,9,55.6,7,13,20,10,5,7,1,2,5,6,37,-2
K. Lowry - K. Love - J. Butler - B. Adebayo - T. Herro,MIA,2,18.9,16,37.5,42.7,5,13.5,37,3.5,5,70,7,15,22,10.5,6,2.5,6.5,2,7,6,40.5,-8.5
J. Jackson Jr. - Z. Williams - S. Aldama - J. Goodwin - V. Williams Jr.,MEM,1,18.7,16,32,50,4,11,36.4,7,7,100,2,12,14,12,7,2,3,3,6,5,43,-7
D. Ayton - D. Banton - S. Henderson - K. Murray - T. Camara,POR,1,18.5,14,37,37.8,4,15,26.7,9,9,100,7,18,25,9,5,6,1,2,7,8,41,10
K. Hayes - I. Stewart - I. Livers - C. Cunningham - J. Duren,DET,1,18.5,16,35,45.7,8,15,53.3,8,10,80,5,12,17,9,3,3,2,1,6,8,48,14
M. Turner - B. Brown - A. Nembhard - O. Toppin - A. Nesmith,IND,1,18.5,17,35,48.6,2,8,25,8,9,88.9,2,10,12,13,3,5,4,2,8,7,44,-3
J. Randle - O. Anunoby - I. Hartenstein - J. Brunson - D. DiVincenzo,NYK,10,18,15.5,33.1,46.8,4.5,12.8,35.2,6.4,8.1,79,3.6,11.6,15.2,11.6,4.9,2.1,1.6,1.2,6.3,7.1,41.9,-6.2
L. Kennard - J. Jackson Jr. - D. Bane - S. Aldama - G. Jackson,MEM,1,18,15,31,48.4,4,14,28.6,10,11,90.9,2,17,19,9,8,3,4,2,7,9,44,1
J. Randle - O. Anunoby - I. Hartenstein - D. DiVincenzo - M. McBride,NYK,2,17.7,15,34.5,43.5,3,14,21.4,3,5,60,5.5,11,16.5,13,3,3.5,0.5,3,8.5,5.5,36,-3
K. Dunn - W. Kessler - T. Hendricks - K. George - B. Sensabaugh,UTA,1,17.4,14,33,42.4,5,14,35.7,5,6,83.3,1,17,18,10,3,3,3,1,7,6,38,8
M. Turner - P. Siakam - A. Nembhard - T. Haliburton - A. Nesmith,IND,15,17.4,15.8,32.8,48.2,3.9,10.6,36.5,4.9,6.5,74.5,3.5,13.8,17.3,9.5,4.5,2.3,1.4,2.6,5.6,5.9,40.3,0.6
J. Randle - O. Anunoby - J. Brunson - D. DiVincenzo - J. Sims,NYK,2,17.2,13,30.5,42.6,5,11.5,43.5,2,2.5,80,7,7,14,9,6.5,2,0.5,1,5.5,4.5,33,-9.5
D. Jordan - R. Jackson - J. Holiday - K. Caldwell-Pope - M. Porter Jr.,DEN,1,17.1,13,31,41.9,2,6,33.3,10,15,66.7,7,13,20,5,4,1,1,1,7,10,38,1
R. Westbrook - P. George - K. Leonard - R. Covington - I. Zubac,LAC,3,17.1,12.3,31.3,39.4,4,15.3,26.1,4.7,6,77.8,4.7,9,13.7,8.3,8,3.7,1.3,3,7.7,6.3,33.3,-14
F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,HOU,45,16.8,14.4,31.5,45.7,4.7,12.8,36.6,5.7,7.6,75.2,3.8,12.2,16,8.8,4,2.5,1.9,1.3,5.7,6.7,39.2,0
J. Holiday - K. Porzingis - J. Brown - J. Tatum - D. White,BOS,33,16.8,14.6,33,44.2,4.9,13.4,36.3,4.7,6.1,76.6,4,11.1,15.1,9.1,4.1,2.6,0.9,2.3,6.2,5.7,38.7,-4.7
J. Poeltl - G. Trent Jr. - R. Barrett - I. Quickley - S. Barnes,TOR,10,16.4,15,31.6,47.5,5,13,38.5,3.1,4.4,70.5,3.2,11.6,14.8,9.6,5,2.4,2.9,2.4,5.9,4.6,38.1,-4.3
M. Fultz - W. Carter Jr. - F. Wagner - J. Suggs - P. Banchero,ORL,16,16.4,13.3,28.1,47.1,4,11.1,36,4.8,5.4,88.5,2.3,11.3,13.6,8.9,5.6,2.6,1.8,0.6,6.4,5.1,35.3,-3
P. Tucker - T. Harris - J. Embiid - D. Melton - T. Maxey,PHI,3,16.4,12.7,31.3,40.4,2.3,8.3,28,4,5.7,70.6,4.3,10.7,15,8,4.3,3.3,2,3.7,6,5.7,31.7,-8.3
J. Randle - J. Brunson - M. Robinson - R. Barrett - Q. Grimes,NYK,14,16.3,14.1,30.3,46.7,3.6,11.1,32.7,4,5.9,67.5,4.5,11.4,15.9,8.8,5.3,2.7,1.9,1.2,6.6,5.9,35.9,-1.6
C. Cunningham - S. Umude - J. Ivey - J. Duren - T. Evbuomwan,DET,1,16.1,16,31,51.6,3,12,25,5,10,50,1,15,16,12,3,3,2,1,7,8,40,8
T. Rozier - M. Bridges - P. Washington - L. Ball - B. Miller,CHA,2,16.1,15.5,25.5,60.8,6,10.5,57.1,4,6,66.7,2,8.5,10.5,12,5.5,2.5,0.5,0.5,6.5,4.5,41,-2
K. Thompson - A. Wiggins - D. Saric - K. Looney - B. Podziemski,GSW,1,16,15,31,48.4,3,10,30,4,5,80,5,11,16,9,2,1,1,1,4,5,37,-6
I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo - P. Achiuwa,NYK,12,15.7,13.3,27.8,47.6,5.2,11.8,43.7,3,4.8,63.2,3.5,9.7,13.2,7.9,4.4,1.5,1.6,2.3,5.7,4.8,34.7,-2.2
K. Lowry - B. Adebayo - D. Robinson - H. Highsmith - J. Jaquez Jr.,MIA,1,15.7,13,28,46.4,6,13,46.2,3,4,75,3,12,15,7,5,2,1,1,6,4,35,-1
N. Batum - T. Harris - J. Embiid - D. Melton - T. Maxey,PHI,14,15.6,12.9,29.9,43.3,2.9,9.1,32,5.4,6.1,87.2,3,9.1,12.1,7.6,3.9,1.7,1.4,2.4,6.6,5.1,34.1,-11.6
K. Durant - B. Beal - J. Nurkic - R. O'Neale - G. Allen,PHX,4,15.5,15,30,50,4.5,11.5,39.1,3.5,4.3,82.4,2.3,10,12.3,9.8,4,3,1.5,1,5.3,5,38,-1
K. Olynyk - B. Brown - R. Barrett - O. Agbaji - G. Dick,TOR,1,15.5,17,28,60.7,2,9,22.2,7,10,70,4,7,11,13,1,2,1,2,5,9,43,0
L. James - A. Davis - D. Russell - R. Hachimura - A. Reaves,LAL,17,15.3,14.6,30.4,48.2,4.4,11.4,38.7,2.9,3.4,86,3.8,9.6,13.4,9.9,4.2,2.9,1.3,1.9,5.8,3.5,36.6,-2.5
K. Lowry - K. Love - J. Richardson - B. Adebayo - D. Robinson,MIA,1,15.2,17,27,63,3,7,42.9,5,6,83.3,1,16,17,8,2,1,1,1,7,6,42,12
W. Carter Jr. - F. Wagner - P. Banchero - C. Houstan - A. Black,ORL,1,15.2,12,31,38.7,4,12,33.3,8,10,80,7,9,16,4,3,3,0,2,1,6,36,0
B. Lopez - D. Lillard - K. Middleton - G. Antetokounmpo - M. Beasley,MIL,35,15.1,13.4,30.2,44.5,3.5,10.4,33.6,5,6.1,80.9,3.3,10.2,13.5,7.7,3.3,2.1,1.2,2,6.5,5.3,35.3,-5.2
J. Clarkson - J. Collins - O. Yurtseven - S. Fontecchio - K. George,UTA,2,15,16.5,26.5,62.3,3,8.5,35.3,2,2.5,80,1.5,12.5,14,10.5,3.5,1.5,3.5,0.5,6.5,4.5,38,1.5
T. Gibson - J. Hart - J. Brunson - D. DiVincenzo - P. Achiuwa,NYK,1,15,14,26,53.8,5,13,38.5,2,5,40,1,13,14,10,2,0,1,1,2,5,35,4
L. Kennard - J. Konchar - S. Pippen Jr. - G. Jackson - T. Jemison,MEM,1,14.9,13,24,54.2,4,12,33.3,0,0,0,1,5,6,8,6,3,3,1,7,4,30,-11
L. Markkanen - C. Sexton - T. Horton-Tucker - W. Kessler - S. Fontecchio,UTA,2,14.9,12.5,28,44.6,5.5,12,45.8,3,5,60,4,8.5,12.5,10.5,5,2,3,2.5,7.5,5,33.5,-8.5
M. Turner - B. Hield - P. Siakam - T. Haliburton - A. Nesmith,IND,3,14.9,14.3,31,46.2,3.3,8.3,40,5.7,7.7,73.9,4.3,8.7,13,8,2.3,2.3,2.3,3.3,4,7,37.7,-8.3
